"site","year","SST"
"SYSW","2009-01-01",-0.498565673828125
"SYLM","2009-01-01",-0.498565673828125
"JBAB","2009-01-01",-0.4638671875
"NRBW","2009-01-01",-0.832794189453125
"MEBB","2009-01-01",-0.832794189453125
"MEKB","2009-01-01",-0.832794189453125
"MEPA","2009-01-01",-0.832794189453125
"SWAIN","2009-01-01",0.698028564453125
"OTIS","2009-02-01",-0.754119873046875
"CHSWRR","2009-02-01",-1.43594360351562
"CHSWRG","2009-02-01",-1.43594360351562
"PSSB","2009-02-01",-1.39553833007812
"PSFB","2009-02-01",-1.39553833007812
"SYSE","2009-02-01",-1.58602905273438
"SYSW","2009-02-01",-1.58602905273438
"SYLM","2009-02-01",-1.58602905273438
"JBAB","2009-02-01",-1.34963989257812
"NRBW","2009-02-01",-1.67642211914062
"MEBB","2009-02-01",-1.67642211914062
"MEKB","2009-02-01",-1.67642211914062
"MEPA","2009-02-01",-1.67642211914062
"SWAIN","2009-02-01",-1.45907592773438
"OTIS","2009-03-01",-1.80905151367188
"CHSWRR","2009-03-01",-2.68612670898438
"CHSWRG","2009-03-01",-2.68612670898438
"PSSB","2009-03-01",-2.4022216796875
"PSFB","2009-03-01",-2.4022216796875
"SYSE","2009-03-01",-2.6572265625
"SYSW","2009-03-01",-2.6572265625
"SYLM","2009-03-01",-2.6572265625
"JBAB","2009-03-01",-2.384521484375
"NRBW","2009-03-01",-2.67828369140625
"MEBB","2009-03-01",-2.67828369140625
"MEKB","2009-03-01",-2.67828369140625
"MEPA","2009-03-01",-2.67828369140625
"SWAIN","2009-03-01",-2.71438598632812
"OTIS","2009-04-01",-2.97442626953125
"CHSWRR","2009-04-01",-4.02532958984375
"CHSWRG","2009-04-01",-4.02532958984375
"PSSB","2009-04-01",-3.71340942382812
"PSFB","2009-04-01",-3.71340942382812
"SYSE","2009-04-01",-3.91732788085938
"SYSW","2009-04-01",-3.91732788085938
"SYLM","2009-04-01",-3.91732788085938
"JBAB","2009-04-01",-3.55804443359375
"NRBW","2009-04-01",-3.7862548828125
"MEBB","2009-04-01",-3.7862548828125
"MEKB","2009-04-01",-3.7862548828125
"MEPA","2009-04-01",-3.7862548828125
"SWAIN","2009-04-01",-3.92022705078125
