"site","time","SST"
"JBAB","2009-02-01",-1.66683959960938
"NRBW","2009-02-01",-1.927734375
"MEBB","2009-02-01",-1.927734375
"MEKB","2009-02-01",-1.927734375
"MEPA","2009-02-01",-1.927734375
"SWAIN","2009-02-01",-1.13516235351562
"OTIS","2009-03-01",-1.28753662109375
"CHSWRR","2009-03-01",-2.57339477539062
"CHSWRG","2009-03-01",-2.57339477539062
"PSSB","2009-03-01",-2.46994018554688
"PSFB","2009-03-01",-2.46994018554688
"SYSE","2009-03-01",-2.58853149414062
"SYSW","2009-03-01",-2.58853149414062
"SYLM","2009-03-01",-2.58853149414062
"JBAB","2009-03-01",-2.57101440429688
"NRBW","2009-03-01",-2.88543701171875
"MEBB","2009-03-01",-2.88543701171875
"MEKB","2009-03-01",-2.88543701171875
"MEPA","2009-03-01",-2.88543701171875
"SWAIN","2009-03-01",-2.1790771484375
"OTIS","2009-04-01",-2.1871337890625
"CHSWRR","2009-04-01",-3.8299560546875
"CHSWRG","2009-04-01",-3.8299560546875
"PSSB","2009-04-01",-3.72616577148438
"PSFB","2009-04-01",-3.72616577148438
"SYSE","2009-04-01",-3.90866088867188
"SYSW","2009-04-01",-3.90866088867188
"SYLM","2009-04-01",-3.90866088867188
"JBAB","2009-04-01",-3.69204711914062
"NRBW","2009-04-01",-3.92529296875
"MEBB","2009-04-01",-3.92529296875
"MEKB","2009-04-01",-3.92529296875
"MEPA","2009-04-01",-3.92529296875
"SWAIN","2009-04-01",-2.89547729492188
"OTIS","2009-05-01",-2.80331420898438
"CHSWRR","2009-05-01",-4.368896484375
"CHSWRG","2009-05-01",-4.368896484375
"PSSB","2009-05-01",-4.4503173828125
"PSFB","2009-05-01",-4.4503173828125
"SYSE","2009-05-01",-4.53274536132812
"SYSW","2009-05-01",-4.53274536132812
"SYLM","2009-05-01",-4.53274536132812
"JBAB","2009-05-01",-4.48959350585938
"NRBW","2009-05-01",-4.6348876953125
"MEBB","2009-05-01",-4.6348876953125
"MEKB","2009-05-01",-4.6348876953125
"MEPA","2009-05-01",-4.6348876953125
"SWAIN","2009-05-01",-3.24725341796875
"OTIS","2009-06-01",-2.80059814453125
"CHSWRR","2009-06-01",-4.218017578125
"CHSWRG","2009-06-01",-4.218017578125
"PSSB","2009-06-01",-4.44680786132812
"PSFB","2009-06-01",-4.44680786132812
"SYSE","2009-06-01",-4.5823974609375
"SYSW","2009-06-01",-4.5823974609375
"SYLM","2009-06-01",-4.5823974609375
"JBAB","2009-06-01",-4.6646728515625
"NRBW","2009-06-01",-4.88253784179688
"MEBB","2009-06-01",-4.88253784179688
"MEKB","2009-06-01",-4.88253784179688
"MEPA","2009-06-01",-4.88253784179688
"SWAIN","2009-06-01",-3.10195922851562
"OTIS","2009-07-01",-2.39373779296875
"CHSWRR","2009-07-01",-3.13766479492188
"CHSWRG","2009-07-01",-3.13766479492188
"PSSB","2009-07-01",-3.25112915039062
"PSFB","2009-07-01",-3.25112915039062
"SYSE","2009-07-01",-3.53173828125
"SYSW","2009-07-01",-3.53173828125
"SYLM","2009-07-01",-3.53173828125
"JBAB","2009-07-01",-3.79202270507812
"NRBW","2009-07-01",-4.00186157226562
"MEBB","2009-07-01",-4.00186157226562
"MEKB","2009-07-01",-4.00186157226562
"MEPA","2009-07-01",-4.00186157226562
"SWAIN","2009-07-01",-2.47894287109375
"OTIS","2009-08-01",-1.40621948242188
"CHSWRR","2009-08-01",-1.60842895507812
"CHSWRG","2009-08-01",-1.60842895507812
"PSSB","2009-08-01",-2.06802368164062
"PSFB","2009-08-01",-2.06802368164062
"SYSE","2009-08-01",-2.17279052734375
"SYSW","2009-08-01",-2.17279052734375
"SYLM","2009-08-01",-2.17279052734375
"JBAB","2009-08-01",-2.48672485351562
"NRBW","2009-08-01",-2.66281127929688
"MEBB","2009-08-01",-2.66281127929688
"MEKB","2009-08-01",-2.66281127929688
"MEPA","2009-08-01",-2.66281127929688
"SWAIN","2009-08-01",-1.41824340820312
"OTIS","2009-09-01",-0.5574951171875
"CHSWRR","2009-09-01",-1.05209350585938
"CHSWRG","2009-09-01",-1.05209350585938
"PSSB","2009-09-01",-1.09628295898438
"PSFB","2009-09-01",-1.09628295898438
"SYSE","2009-09-01",-1.11209106445312
"SYSW","2009-09-01",-1.11209106445312
"SYLM","2009-09-01",-1.11209106445312
"JBAB","2009-09-01",-1.0172119140625
"NRBW","2009-09-01",-0.7379150390625
"MEBB","2009-09-01",-0.7379150390625
"MEKB","2009-09-01",-0.7379150390625
"MEPA","2009-09-01",-0.7379150390625
"SWAIN","2009-09-01",-0.794891357421875
